user,song,rating
user1,Maya_Vanda_thulo_jaat_hainah_aug5.wav,4
user1,Aila_Luwaya_aug7.wav,4
user1,Thorang_Tama_aug17.wav,3
user1,Gade_Jeba_Jhame_aug16.wav,3
user1,Sirsaya_Hegu_Original_aug13.wav,3
user1,JOJOLAPA_aug18.wav,4
user1,Aananda_aug3.wav,5
user2,Jehne_Kisori_Mori_Tehne_Kisore_aug0.wav,4
user2,Hamar_Manak_gaam_me_aug11.wav,4
user2,Thorang_Tama_aug2.wav,5
user2,Thorang_Tama_aug9.wav,3
user2,Gade_Jeba_Jhame_aug4.wav,3
user2,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug16.wav,3
user2,Gade_Jeba_Jhame_aug19.wav,3
user2,OH_MAICHA_aug2.wav,4
user2,Aappa_Aamma_aug1.wav,4
user3,Gade_Jeba_Jhame_aug14.wav,4
user3,Digum_jorshi_tamang_song_aug3.wav,4
user3,Jigu_Baisha_aug18.wav,4
user3,Sirsaya_Hegu_Original_aug13.wav,3
user3,Digum_jorshi_tamang_song_aug7.wav,3
user3,Jehne_Kisori_Mori_Tehne_Kisore_aug17.wav,3
user3,Digum_jorshi_tamang_song_aug15.wav,3
user3,Aananda_aug4.wav,5
user3,JOJOLAPA_aug10.wav,3
user4,Sirsaya_Hegu_Original_aug14.wav,3
user4,Aappa_Aamma_aug19.wav,3
user4,Aananda_aug3.wav,3
user4,JOJOLAPA_aug7.wav,5
user4,Digum_jorshi_tamang_song_aug2.wav,3
user4,Sang_Lene_Chalu_Humro_aug14.wav,3
user4,Gade_Jeba_Jhame_aug12.wav,3
user4,OH_MAICHA_aug17.wav,5
user4,Sirsaya_Hegu_Original_aug9.wav,5
user4,Aappa_Aamma_aug14.wav,5
user5,New_Tamang_Selo_Song_aug9.wav,3
user5,Mohi_Lelkhin_Sajni_Mor_Manwa_aug18.wav,4
user5,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug3.wav,5
user5,Jehne_Kisori_Mori_Tehne_Kisore_aug8.wav,4
user5,OH_MAICHA_aug19.wav,4
user5,Aappa_Aamma_aug5.wav,4
user5,Aappa_Aamma_aug2.wav,5
user5,Gade_Jeba_Jhame_aug15.wav,3
user5,Sirsaya_Hegu_Original_aug15.wav,5
user6,Jehne_Kisori_Mori_Tehne_Kisore_aug12.wav,4
user6,Jehne_Kisori_Mori_Tehne_Kisore_aug14.wav,3
user6,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug11.wav,5
user6,Aananda_aug10.wav,5
user6,Hamar_Manak_gaam_me_aug16.wav,4
user6,Thorang_Tama_aug14.wav,4
user7,Sang_Lene_Chalu_Humro_aug3.wav,4
user7,Aananda_aug7.wav,5
user7,Mohi_Lelkhin_Sajni_Mor_Manwa_aug13.wav,4
user7,Aananda_aug10.wav,3
user7,New_Tamang_Selo_Song_aug18.wav,4
user7,Mohi_Lelkhin_Sajni_Mor_Manwa_aug8.wav,3
user7,Hamar_Manak_gaam_me_aug10.wav,4
user7,Thorang_Tama_aug18.wav,4
user7,Sirsaya_Hegu_Original_aug8.wav,4
user7,New_Tamang_Selo_Song_aug3.wav,5
user7,OH_MAICHA_aug2.wav,4
user7,Hamar_Manak_gaam_me_aug1.wav,5
user7,Aappa_Aamma_aug2.wav,3
user8,Aananda_aug11.wav,5
user8,Maya_Vanda_thulo_jaat_hainah_aug17.wav,3
user8,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug19.wav,3
user8,New_Tamang_Selo_Song_aug15.wav,3
user8,Aananda_aug1.wav,5
user8,Hamar_Manak_gaam_me_aug2.wav,5
user8,Digum_jorshi_tamang_song_aug11.wav,3
user8,Thorang_Tama_aug18.wav,5
user8,Digum_jorshi_tamang_song_aug16.wav,4
user8,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug10.wav,5
user8,Aappa_Aamma_aug8.wav,3
user8,Digum_jorshi_tamang_song_aug19.wav,3
user9,Maya_Vanda_thulo_jaat_hainah_aug9.wav,4
user9,JOJOLAPA_aug14.wav,5
user9,Gade_Jeba_Jhame_aug17.wav,3
user9,JOJOLAPA_aug3.wav,5
user9,Sirsaya_Hegu_Original_aug6.wav,3
user9,Aappa_Aamma_aug6.wav,3
user9,Aappa_Aamma_aug13.wav,3
user9,Jehne_Kisori_Mori_Tehne_Kisore_aug0.wav,5
user9,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug4.wav,5
user9,Thorang_Tama_aug12.wav,4
user9,OH_MAICHA_aug5.wav,3
user9,Aappa_Aamma_aug10.wav,3
user9,Maya_Vanda_thulo_jaat_hainah_aug3.wav,5
user10,Sirsaya_Hegu_Original_aug17.wav,3
user10,Digum_jorshi_tamang_song_aug16.wav,3
user10,Digum_jorshi_tamang_song_aug12.wav,3
user10,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug6.wav,5
user10,Sirsaya_Hegu_Original_aug2.wav,5
user10,Sirsaya_Hegu_Original_aug19.wav,3
user10,Jehne_Kisori_Mori_Tehne_Kisore_aug4.wav,3
user10,Jigu_Baisha_aug3.wav,3
user10,Mohi_Lelkhin_Sajni_Mor_Manwa_aug10.wav,4
user10,Digum_jorshi_tamang_song_aug10.wav,5
user10,JOJOLAPA_aug4.wav,5
user11,New_Tamang_Selo_Song_aug14.wav,3
user11,Hamar_Manak_gaam_me_aug12.wav,3
user11,Digum_jorshi_tamang_song_aug19.wav,3
user11,Digum_jorshi_tamang_song_aug3.wav,3
user11,Gade_Jeba_Jhame_aug16.wav,3
user11,Mohi_Lelkhin_Sajni_Mor_Manwa_aug15.wav,4
user11,Maya_Vanda_thulo_jaat_hainah_aug16.wav,4
user11,Aila_Luwaya_aug6.wav,3
user11,Sirsaya_Hegu_Original_aug1.wav,4
user11,Sirsaya_Hegu_Original_aug11.wav,5
user12,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug14.wav,3
user12,Jehne_Kisori_Mori_Tehne_Kisore_aug3.wav,4
user12,Gade_Jeba_Jhame_aug19.wav,4
user12,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug17.wav,5
user12,Digum_jorshi_tamang_song_aug0.wav,5
user12,Mohi_Lelkhin_Sajni_Mor_Manwa_aug3.wav,4
user12,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug4.wav,5
user12,Digum_jorshi_tamang_song_aug18.wav,5
user12,OH_MAICHA_aug18.wav,4
user12,Digum_jorshi_tamang_song_aug15.wav,4
user12,Jigu_Baisha_aug8.wav,4
user13,JOJOLAPA_aug10.wav,4
user13,Digum_jorshi_tamang_song_aug12.wav,5
user13,Aila_Luwaya_aug13.wav,4
user13,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug0.wav,4
user13,Sang_Lene_Chalu_Humro_aug3.wav,5
user13,Jigu_Baisha_aug17.wav,4
user13,Sirsaya_Hegu_Original_aug3.wav,5
user13,OH_MAICHA_aug14.wav,4
user13,Thorang_Tama_aug11.wav,3
user13,Aila_Luwaya_aug7.wav,4
user13,Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug8.wav,4
user14,Jigu_Baisha_aug13.wav,4
user14,Aananda_aug7.wav,4
user14,Hamar_Manak_gaam_me_aug7.wav,3
user14,Aila_Luwaya_aug3.wav,4
user14,Sang_Lene_Chalu_Humro_aug6.wav,5
user14,Sirsaya_Hegu_Original_aug11.wav,5
user14,Gade_Jeba_Jhame_aug17.wav,5
user14,Maya_Vanda_thulo_jaat_hainah_aug3.wav,4
user14,OH_MAICHA_aug7.wav,5
user15,Aananda_aug18.wav,3
user15,Sirsaya_Hegu_Original_aug14.wav,5
user15,Aappa_Aamma_aug11.wav,4
